Player,Team,Salary,AllStar
Stephen Curry,GSW,34682550.0,True
LeBron James,CLE,33285709.0,True
Paul Millsap,DEN,31269231.0,False
Gordon Hayward,BOS,29727900.0,False
Blake Griffin,DET,29512900.0,False
Kyle Lowry,TOR,28703704.0,True
Russell Westbrook,OKC,28530608.0,True
Mike Conley,MEM,28530608.0,False
James Harden,HOU,28299399.0,True
DeMar DeRozan,TOR,27739975.0,True
Al Horford,BOS,27734405.0,True
Carmelo Anthony,OKC,26243760.0,False
Damian Lillard,POR,26153057.0,True
Jrue Holiday,NOP,25686667.0,False
Chris Bosh,MIA,25289390.0,False
Kevin Durant,GSW,25000000.0,True
Otto Porter,WAS,24773250.0,False
Chris Paul,HOU,24599495.0,False
C.J. McCollum,POR,23962573.0,False
Bradley Beal,WAS,23775506.0,True
Anthony Davis,NOP,23775506.0,True
Andre Drummond,DET,23775506.0,True
Hassan Whiteside,MIA,23775506.0,False
Dwight Howard,CHO,23500000.0,False
Chandler Parsons,MEM,23112004.0,False
Harrison Barnes,DAL,23112004.0,False
J.J. Redick,PHI,23000000.0,False
Marc Gasol,MEM,22642350.0,False
Kevin Love,CLE,22642350.0,True
Brook Lopez,LAL,22642350.0,False
DeAndre Jordan,LAC,22642350.0,False
Steven Adams,OKC,22471910.0,False
Giannis Antetokounmpo,MIL,22471910.0,True
Nicolas Batum,CHO,22434783.0,False
Rudy Gobert,UTA,21974719.0,False
LaMarcus Aldridge,SAS,21461010.0,True
Victor Oladipo,IND,21000000.0,True
Enes Kanter,NYK,20566802.0,False
Danilo Gallinari,LAC,20559599.0,False
Serge Ibaka,TOR,20061729.0,False
George Hill,CLE,20000000.0,False
Ryan Anderson,HOU,19578455.0,False
Paul George,OKC,19508958.0,True
Allen Crabbe,BRK,19332500.0,False
Jimmy Butler,MIN,19301070.0,True
Jeff Teague,MIN,19000000.0,False
Kawhi Leonard,SAS,18868625.0,False
Kyrie Irving,BOS,18868625.0,True
John Wall,WAS,18063850.0,True
DeMarcus Cousins,NOP,18063850.0,True
Greg Monroe,PHO,17884176.0,False
Wesley Matthews,DAL,17884176.0,False
Klay Thompson,GSW,17826150.0,True
Joakim Noah,NYK,17765000.0,False
Kentavious Caldwell-Pope,LAL,17745894.0,False
Luol Deng,LAL,17190000.0,False
Evan Turner,POR,17131148.0,False
Goran Dragic,MIA,17000450.0,True
Evan Fournier,ORL,17000000.0,False
Bismack Biyombo,ORL,17000000.0,False
Kent Bazemore,ATL,16910113.0,False
Robert Covington,PHI,16698103.0,False
Ian Mahinmi,WAS,16661641.0,False
Tim Hardaway,NYK,16500000.0,False
Draymond Green,GSW,16400000.0,True
Tristan Thompson,CLE,16400000.0,False
Reggie Jackson,DET,16000000.0,False
Pau Gasol,SAS,16000000.0,False
Tobias Harris,LAC,16000000.0,False
Dwyane Wade,CHI,15550000.0,False
Dennis Schroder,ATL,15500000.0,False
Jonas Valanciunas,TOR,15460675.0,False
Tony Parker,SAS,15453126.0,False
Timofey Mozgov,BRK,15280000.0,False
Andre Iguodala,GSW,14814815.0,False
DeMarre Carroll,BRK,14800000.0,False
Thaddeus Young,IND,14796348.0,False
Eric Bledsoe,MIL,14500000.0,False
Ricky Rubio,UTA,14275000.0,False
Joe Ingles,UTA,14136364.0,False
Gorgui Dieng,MIN,14112360.0,False
Khris Middleton,MIL,14100000.0,False
Mason Plumlee,DEN,14041096.0,False
Taj Gibson,MIN,14000000.0,False
James Johnson,MIA,13954000.0,False
Robin Lopez,CHI,13788500.0,False
J.R. Smith,CLE,13760000.0,False
Brandon Knight,PHO,13618750.0,False
Marvin Williams,CHO,13168750.0,False
Tyson Chandler,PHO,13000000.0,False
Michael Kidd-Gilchrist,CHO,13000000.0,False
Eric Gordon,HOU,12943020.0,False
Kenneth Faried,DEN,12921348.0,False
Marcin Gortat,WAS,12782609.0,False
Cody Zeller,CHO,12584270.0,False
Miles Plumlee,ATL,12500000.0,False
Nikola Mirotic,NOP,12500000.0,False
Zach Randolph,SAC,12307692.0,False
Nikola Vucevic,ORL,12250000.0,False
Solomon Hill,NOP,12236535.0,False
Wilson Chandler,DEN,12016854.0,False
Jeremy Lin,BRK,12000000.0,False
Kemba Walker,CHO,12000000.0,True
Derrick Favors,UTA,12000000.0,False
Austin Rivers,LAC,11825000.0,False
Courtney Lee,NYK,11747890.0,False
Nikola Pekovic,MIN,11600000.0,False
Jordan Clarkson,CLE,11562500.0,False
John Henson,MIL,11422536.0,False
Dion Waiters,MIA,11000000.0,False
Amir Johnson,PHI,11000000.0,False
Jamal Crawford,ATL,10942762.0,False
Alec Burks,UTA,10845506.0,False
Patty Mills,SAS,10714286.0,False
Kelly Olynyk,MIA,10607169.0,False
Omer Asik,CHI,10595505.0,False
Terrence Ross,ORL,10500000.0,False
Mirza Teletovic,MIL,10500000.0,False
Bojan Bogdanovic,IND,10500000.0,False
Jon Leuer,DET,10497319.0,False
Iman Shumpert,SAC,10337079.0,False
Maurice Harkless,POR,10162922.0,False
Jared Dudley,PHO,10000000.0,False
Darren Collison,IND,10000000.0,False
Danny Green,SAS,10000000.0,False
Meyers Leonard,POR,9904495.0,False
Tony Snell,MIL,9821429.0,False
Al Jefferson,IND,9769821.0,False
Matthew Dellavedova,MIL,9607500.0,False
Joe Johnson,SAC,9505000.0,False
Bogdan Bogdanovic,SAC,9470614.0,False
Andre Roberson,OKC,9259259.0,False
Trevor Booker,PHI,9125000.0,False
Dwight Powell,DAL,9003125.0,False
Jerryd Bayless,PHI,9000000.0,False
Avery Bradley,LAC,8808989.0,False
JaMychal Green,MEM,8533333.0,False
E'Twaun Moore,NOP,8445024.0,False
Rudy Gay,SAS,8406000.0,False
Kosta Koufos,SAC,8393000.0,False
Markieff Morris,WAS,8000000.0,False
Garrett Temple,SAC,8000000.0,False
Vince Carter,SAC,8000000.0,False
C.J. Miles,TOR,7936509.0,False
Cristiano Felicio,CHI,7843500.0,False
Shaun Livingston,GSW,7692308.0,False
Cory Joseph,IND,7630000.0,False
P.J. Tucker,HOU,7590035.0,False
Corey Brewer,LAL,7579366.0,False
Andrew Wiggins,MIN,7574322.0,False
Darrell Arthur,DEN,7464912.0,False
Channing Frye,LAL,7420912.0,False
Trevor Ariza,HOU,7420912.0,False
