PlayerName,Team,BirthDate,BirthCity,College,Height,Weight,PhotoUrl,Position,JerseyNo,ExperienceYear
Nene Hilario,HOU,9/13/1982,Sao Carlos,No College,83,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000439.png,C,42,16
Marcin Gortat,LAC,2/17/1984,Lodz,No College,83,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000440.png,C,13,11
Bradley Beal,WAS,6/28/1993,St. Louis,Florida,77,207,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000441.png,SG,3,6
John Wall,WAS,9/6/1990,Raleigh,Kentucky,76,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000442.png,PG,2,8
Otto Porter Jr.,WAS,6/3/1993,St. Louis,Georgetown,80,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000443.png,SF,22,5
Garrett Temple,MEM,5/8/1986,Baton Rouge,LSU,78,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000452.png,SG,17,8
Terrence Ross,ORL,2/5/1991,Portland,Washington,79,206,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000453.png,SG,31,6
Jonas Valanciunas,TOR,5/6/1992,Utena,No College,84,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000455.png,C,17,6
DeMar DeRozan,SAS,8/7/1989,Compton,USC,79,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000456.png,SG,10,9
Kyle Lowry,TOR,3/25/1986,Philadelphia,Villanova,73,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000457.png,PG,7,12
Amir Johnson,PHI,5/1/1987,Los Angeles,No College,81,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000458.png,PF,5,13
Lou Williams,LAC,10/27/1986,Memphis,No College,73,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000459.png,SG,23,13
Patrick Patterson,OKC,3/14/1989,Washington,Kentucky,81,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000460.png,PF,54,8
