Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
James Harden,HOU,72,35.4,9,20.1,0.449,3.7,10,0.367,8.7,10.1,0.858,4.4,2.3,0.6,4.8,5.4,8.8,1.8,0.7,30.4
Anthony Davis,NOP,75,36.4,10.4,19.5,0.534,0.7,2.2,0.34,6.6,8,0.828,2.2,2.1,2.5,8.6,11.1,2.3,1.5,2.6,28.1
LeBron James,CLE,82,36.9,10.5,19.3,0.542,1.8,5,0.367,4.7,6.5,0.731,4.2,1.7,1.2,7.5,8.6,9.1,1.4,0.9,27.5
Damian Lillard,POR,73,36.6,8.5,19.4,0.439,3.1,8.6,0.361,6.8,7.4,0.916,2.8,1.6,0.8,3.6,4.5,6.6,1.1,0.4,26.9
Giannis Antetokounmpo,MIL,75,36.8,9.9,18.7,0.529,0.6,1.9,0.307,6.5,8.5,0.76,3,3.1,2.1,8,10,4.8,1.5,1.4,26.9
Stephen Curry,GSW,51,32,8.4,16.9,0.495,4.2,9.8,0.423,5.5,5.9,0.921,3,2.2,0.7,4.4,5.1,6.1,1.6,0.2,26.4
Kevin Durant,GSW,68,34.2,9.3,18,0.516,2.5,6.1,0.419,5.3,5.9,0.889,3,2,0.5,6.4,6.8,5.4,0.7,1.8,26.4
Russell Westbrook,OKC,80,36.4,9.5,21.1,0.449,1.2,4.1,0.298,5.2,7.1,0.737,4.8,2.5,1.9,8.2,10.1,10.2,1.8,0.2,25.4
DeMarcus Cousins,NOP,48,36.2,8.5,18,0.47,2.2,6.1,0.354,6.1,8.2,0.746,5,3.8,2.2,10.7,12.9,5.4,1.7,1.6,25.2
Devin Booker,PHX,54,34.5,8.4,19.5,0.432,2.7,7.1,0.383,5.4,6.1,0.878,3.6,3.1,0.5,4,4.5,4.7,0.9,0.3,24.9
Kyrie Irving,BOS,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,3.9,4.3,0.889,2.3,2,0.6,3.2,3.8,5.1,1.1,0.3,24.4
LaMarcus Aldridge,SAS,75,33.4,9.2,18,0.51,0.4,1.2,0.293,4.5,5.3,0.837,1.5,2.1,3.3,5.2,8.5,2,0.6,1.2,23.1
Victor Oladipo,IND,75,34,8.5,17.9,0.477,2.1,5.8,0.371,3.9,4.9,0.799,2.9,2.3,0.6,4.6,5.2,4.3,2.4,0.8,23.1
DeMar DeRozan,TOR,80,33.9,8.1,17.7,0.456,1.1,3.6,0.31,5.8,7,0.825,2.2,1.9,0.7,3.2,3.9,5.2,1.1,0.3,23
Joel Embiid,PHI,63,30.4,8.1,16.8,0.483,1,3.4,0.308,5.7,7.4,0.769,3.7,3.3,2.3,8.7,11,3.2,0.6,1.8,22.9
Kristaps Porzingis,NYK,48,32.4,8.1,18.5,0.439,1.9,4.8,0.395,4.5,5.7,0.793,1.9,2.9,1.3,5.3,6.6,1.2,0.8,2.4,22.7
Bradley Beal,WAS,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,3.6,4.5,0.791,2.6,2,0.7,3.7,4.4,4.5,1.2,0.4,22.6
Lou Williams,LAC,79,32.8,7.4,16.9,0.435,2.4,6.6,0.359,5.5,6.2,0.88,3,1.3,0.5,2,2.5,5.3,1.1,0.2,22.6
Jimmy Butler,MIN,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,7.2,0.854,1.8,1.3,1.3,4,5.3,4.9,2,0.4,22.2
Kemba Walker,CHA,80,34.2,7.3,17,0.431,2.9,7.5,0.384,4.5,5.2,0.864,2.2,1.2,0.4,2.7,3.1,5.5,1.1,0.3,22.1
Paul George,OKC,79,36.6,7.3,17,0.43,3.1,7.7,0.401,4.3,5.2,0.822,2.7,2.9,0.9,4.7,5.7,3.3,2,0.5,21.9
Blake Griffin,DET,58,34,7.5,17.2,0.438,1.9,5.6,0.345,4.5,5.7,0.785,2.8,2.4,1.3,6.1,7.4,5.8,0.7,0.3,21.4
C.J. McCollum,POR,81,36.1,8.2,18.6,0.443,2.3,5.9,0.397,2.6,3.1,0.836,1.9,2.1,0.7,3.3,4,3.4,1,0.4,21.4
Karl-Anthony Towns,MIN,82,35.6,7.8,14.3,0.545,1.5,3.5,0.421,4.2,4.9,0.858,1.9,3.5,2.9,9.4,12.3,2.4,0.8,1.4,21.3
Donovan Mitchell,UTA,79,33.4,7.5,17.2,0.437,2.4,7,0.34,3,3.8,0.805,2.7,2.7,0.7,3.1,3.7,3.7,1.5,0.3,20.5
Khris Middleton,MIL,82,36.4,7.2,15.5,0.466,1.8,5,0.359,3.9,4.4,0.884,2.3,3.3,0.5,4.7,5.2,4,1.5,0.3,20.1
MarShon Brooks,MEM,7,27.5,7.3,14.6,0.5,2.7,4.6,0.594,2.9,3.3,0.87,2.3,0.9,1.1,1.9,3,3.6,1.6,0.4,20.1
Klay Thompson,GSW,73,34.3,7.9,16.1,0.488,3.1,7.1,0.44,1.1,1.3,0.837,1.8,1.6,0.4,3.4,3.8,2.5,0.8,0.5,20
