Abbr,Name,c1,c2,c3,c4,c5,c6
ATL,Atlanta Hawks,@ATLHawks,@CvivlamoreAJC,@atl_hawksnation,,,
BKN,Brooklyn Nets,@BrooklynNets,@NetsDaily,@APOOCH,@ReedWallach,,
BOS,Boston Celtics,@Celtics,@ByJayKing,@AdamHimmelsbach,,,
CHA,Charlotte Hornets,@Hornets,@Rick_bonnell,@Mcristaldi,,,
CHI,Chicago Bulls,@ChicagoBulls,@kcjhoop,@Samsmithhoops,@StephNoh,,
CLE,Cleveland Cavaliers,@cavsjoeg,@joevardon,@PDcavsinsider,@MRidenourABJ,,
DAL,Dallas Mavericks,@Dallasmavs,@MFollowill,@DwainPrice,@ESefko,,
DEN,Denver Nuggets,@Nuggets,@Chrisadempsey,@nuggetsnews,@TJMcBrideNBA,@KatyWinge,
DET,Detroit Pistons,@DetroitPistons,@DetnewsRodBeard,@Keith_langlois,@Vincent_ellis56,,
GS,Golden State Warriors,@Warriors,@AnthonyVslater,@Con_chron,,,
HOU,Houston Rockets,@HoustonRockets,@Jonathan_Feigen,@Jonathan_Feigen,@KellyIkoNBA,,
IND,Indiana Pacers,@Pacers,@Scottagness,@patboylanpacers,,,
LAC,Los Angeles Clippers,@LaClippers,@DanWoikeSports,,,,
LAL,Los Angeles Lakers,@Lakers,@LakersReporter,@Mike_bresnahan,@Taniaganguli,,
MEM,Memphis Grizzlies,@memgrizz,@MyMikeCheck,@Geoff_calkins,@CAGrizBeat,@FlyerGrizBlog,@JoeMullinax
MIA,Miami Heat,@MiamiHeat,@IraHeatBeat,@IraHeatBeat,@EthanJSkolnick,,
MIL,Milwaukee Bucks,@Bucks,@Matt_velazquez,@cf_gardner,,,
MIN,Minnesota Timberwolves,@Timberwolves,@Timberwolves,@ChristopherHine,,,
NO,New Orleans Pelicans,@PelicansNBA,@Jim_Eichenhofer,@PelicansCR,,,
NY,New York Knicks,@NYKnicks,@StevePopper,@MikeVorkunov,,,
OKC,Oklahoma City Thunder,@OKCthunder,@ErikHorneOK,@RoyceYoung,,,
ORL,Orlando Magic,@OrlandoMagic,@JoshuaBRobbins,@JohnDenton555,,,
PHI,Philadelphia 76ers,@Sixers,@PompeyOnSixers,@SixersBeat,@DerekBodnerNBA,,
PHO,Phoenix Suns,@Suns,@GeraldBourguet,@Sunscommunity,@ginamizell,,
POR,Portland Trail Blazers,@Trailblazers,@MikeGrich,@CHold,,,
SA,San Antonio Spurs,@Spurs,@JeffGSpursZone,@JMcDonald_SAEN,@Poundingtherock,,
SAC,Sacramento Kings,@SacramentoKings,@mr_jasonjones,@kayte_c,,,
TOR,Toronto Raptors,@Raptors,@JLew1050,@SmithRaps,@Wolstatsun,,
UTA,Utah Jazz,@UtahJazz,@Tribjazz,@Andyblarsen,,,
WAS,Washington Wizards,@WashWizards,@CandaceDBuckner,@Zacharysrosen,@FredKatz,,
